Model,Noise_Level,Accuracy,F1_Score,Recall,Precision,CO2e_kg,Energy_kWh,Train_Time_sec,Inference_Time_ms,RAM_MB,Model_Size_MB,Accuracy_per_CO2,F1_Score_per_CO2,Accuracy_per_Time,Accuracy_per_RAM
GradientBoosting,10,0.9120734908136483,0.9242937853107345,0.9380733944954128,0.910913140311804,6.822144316724804e-08,7.038333333333333e-05,0.8163223266601562,0.002623543025940422,0.43860435485839844,0.18029022216796875,13369308.071916007,13548434.9553378,1.1172957801426817,2.0794902757135354
SVM,10,0.863517060367454,0.8862144420131292,0.9288990825688074,0.8472803347280334,3.952680081155618e-08,7.102666666666666e-05,0.4642000198364258,0.07490160584136883,0.432403564453125,0.07781505584716797,21846368.606563106,22420596.249065336,1.8602262461594445,1.997016517335079
KNN,10,0.8543307086614174,0.8770764119601329,0.908256880733945,0.8479657387580299,1.1411013908537547e-09,6.348972222222221e-05,0.009008646011352539,0.02230809429499108,0.5804262161254883,0.39127159118652344,748689569.1383042,768622682.4278232,94.83452980445726,1.4719023450806896
DecisionTree,10,0.8648293963254593,0.8825541619156214,0.8876146788990825,0.8775510204081632,3.870703020679436e-09,6.603777777777778e-05,0.03933525085449219,0.0013131794967050628,0.350494384765625,0.038781166076660156,223429540.24244756,228008751.1753108,21.986116207180448,2.4674557822196475
LogisticRegression,20,0.8937007874015748,0.9086809470124013,0.9243119266055045,0.893569844789357,1.612057704913036e-08,6.719305555555556e-05,0.18660998344421387,0.0013106764145097707,0.3530902862548828,0.0012960433959960938,55438510.958873294,56367767.99261171,4.789137059586858,2.5310829048308774
NaiveBayes,20,0.8805774278215223,0.8980963045912654,0.9197247706422018,0.8774617067833698,1.0260062933034168e-09,6.954527777777778e-05,0.007010221481323242,0.0013131794967050628,0.3502988815307617,0.0013647079467773438,858257335.81647,875332159.7079862,125.61335332522266,2.5137888650215223
RandomForest,20,0.8976377952755905,0.9119638826185101,0.926605504587156,0.8977777777777778,2.1151858259070182e-07,7.224916666666667e-05,1.0330073833465576,0.0118114191090341,0.4996814727783203,3.204277992248535,4243777.469956675,4311507.1567172995,0.8689558368572157,1.796420007899353
GradientBoosting,20,0.9002624671916011,0.9142212189616253,0.9288990825688074,0.9,7.982789670641597e-08,7.037166666666666e-05,0.8330972194671631,0.0026301136167030635,0.43001365661621094,0.18076324462890625,11277542.116667653,11452402.68979988,1.0806211401922525,2.0935671538336496
SVM,20,0.8333333333333334,0.8602860286028603,0.8967889908256881,0.8266384778012685,5.2828988476557054e-08,6.938916666666667e-05,0.5714213848114014,0.08530253813335589,0.4378013610839844,0.08245372772216797,15774167.883284882,16284355.491391124,1.458351674409904,1.9034507596550694
KNN,20,0.8451443569553806,0.8683035714285714,0.8922018348623854,0.8456521739130435,1.079340162416329e-09,6.765916666666667e-05,0.010080575942993164,0.02242042010850481,0.5802326202392578,0.39127159118652344,783019465.3957359,804476291.7787586,83.83889588598616,1.4565612609075425
DecisionTree,20,0.863517060367454,0.8812785388127854,0.8853211009174312,0.8772727272727273,3.0833964099868522e-09,6.614194444444445e-05,0.028072118759155273,0.0013134923819794742,0.3504810333251953,0.039849281311035156,280053858.0023631,285814219.6567399,30.760665690252956,2.4638053939034013
LogisticRegression,30,0.884514435695538,0.9020044543429844,0.9288990825688074,0.8766233766233766,2.2625707663002512e-08,6.531194444444444e-05,0.26194024085998535,0.001203043880112215,0.35407352447509766,0.0012960433959960938,39093337.93532095,39866353.255237155,3.3767795005133885,2.4981095014285564
